fecha_extraccion,external_id,titulo,precio_usd,ubicacion,categoria,subcategoria,link
2026-09-17 12:33:57,466,Llave de Local de Cortinas,60000.0,"Unión, Montevideo",Industria y Manufactura,Productos para el Hogar,https://negozona.com.uy/anuncios/466
2026-09-17 12:34:12,325,Llave de Negocio | Fábrica de Polietileno,45000.0,"Flor de Maroñas, Montevideo",Industria y Manufactura,Otros,https://negozona.com.uy/anuncios/325
2026-09-17 12:33:55,1375,Empresa de Equipos Médicos,47500.0,"Punta del Este, Maldonado",Salud,Equipamiento Medico,https://negozona.com.uy/anuncios/1375
2026-09-17 12:33:57,807,"Venta Metalurgica, Importadora y Fabricación",,"Centro, Montevideo",Industria y Manufactura,Metalúrgicas,https://negozona.com.uy/anuncios/807
2026-09-17 12:34:06,1127,Industria Química y Laboratorio,1350000.0,"Aguada, Montevideo",Industria y Manufactura,Farmaceutica / Droguería,https://negozona.com.uy/anuncios/1127
2026-09-17 12:33:57,426,Venta de Reconocida Pizzeria en Parque Rodó,60000.0,"Parque Rodó, Montevideo",Gastronomía,Pizzerias,https://negozona.com.uy/anuncios/426
2026-09-17 12:34:10,873,EMPRESA DE PISOS DE CAUCHO | VENTA!!,230000.0,"Centro, Montevideo",Industria y Manufactura,Materiales de Construcción,https://negozona.com.uy/anuncios/873
2026-09-17 12:34:10,1006,PLANTA DE ELABORACION,29000.0,"La Blanqueada, Montevideo",Alimentos y Bebidas,Almacenes,https://negozona.com.uy/anuncios/1006
2026-09-17 12:33:53,770,VENTA DE NEGOCIO DE DONAS EN MARCHA,30000.0,"Brazo Oriental, Montevideo",Gastronomía,Café,https://negozona.com.uy/anuncios/770
2026-09-17 12:33:59,584,Venta del 50% de Negocio de Poliuretano,30000.0,"Carrasco, Montevideo",Industria y Manufactura,Constructoras,https://negozona.com.uy/anuncios/584
2026-09-17 12:33:55,1149,Cafetería Rentable en Funcionamiento,30000.0,"Cordón, Montevideo",Gastronomía,Café,https://negozona.com.uy/anuncios/1149
2026-09-17 12:34:10,739,Venta de Llave Barraca Del Sur,30000.0,"Paso Carrasco, Canelones",Industria y Manufactura,Materiales de Construcción,https://negozona.com.uy/anuncios/739
2026-09-17 12:34:06,1128,LLAVE DE LOCAL SOBRE MILLAN Y L.A DE HERRERA,45000.0,"Prado, Montevideo",Industria y Manufactura,Otros,https://negozona.com.uy/anuncios/1128
2026-09-17 12:34:01,634,Venta Negocio Cortinas en Funcionamiento,45000.0,"Unión, Montevideo",Hogar y Exteriores,Aberturas,https://negozona.com.uy/anuncios/634
2026-09-17 12:33:57,586,Traspaso de Dos Heladerias y Fabrica,120000.0,"Atlántida, Canelones",Gastronomía,Heladería,https://negozona.com.uy/anuncios/586
2026-09-17 12:34:10,1259,Llave de Restaurante en Carrasco,30000.0,"Carrasco, Montevideo",Gastronomía,Restaurantes,https://negozona.com.uy/anuncios/1259
2026-09-17 12:34:08,1168,IMPORTADORA DE MOVILIDAD ELÉCTRICA Y TALLER,60000.0,"Aguada, Montevideo",Automóviles y Rodados,Taller Mecánico,https://negozona.com.uy/anuncios/1168
2026-09-17 12:34:04,628,Oportunidad| Fabrica de Cortinas de Enrollar,250000.0,"Malvín, Montevideo",Hogar y Exteriores,Mueblería,https://negozona.com.uy/anuncios/628
2026-09-17 12:34:12,1063,Rentadora de Vehiculos en Funcionamiento,320000.0,"Brazo Oriental, Montevideo",Automóviles y Rodados,Otros,https://negozona.com.uy/anuncios/1063
2026-09-17 12:34:01,894,Empresa de Bolsones,1500000.0,"La Teja, Montevideo",Industria y Manufactura,Materiales de Construcción,https://negozona.com.uy/anuncios/894
2026-09-17 12:34:01,305,Barbería en El Prado,25000.0,"Prado, Montevideo",Servicios,Peluquerias,https://negozona.com.uy/anuncios/305
2026-09-17 12:34:12,1218,Fábrica de Pastas en Venta!!,96000.0,"Piriápolis, Maldonado",Alimentos y Bebidas,Otros,https://negozona.com.uy/anuncios/1218
2026-09-17 12:34:04,798,Fábrica de Piscinas en Venta!,120000.0,"Pando, Canelones",Hogar y Exteriores,Jardines y Exteriores,https://negozona.com.uy/anuncios/798
2026-09-17 12:34:12,1305,Venta D Llave Barraca Materiales Construcción,248000.0,"Flor de Maroñas, Montevideo",Industria y Manufactura,Materiales de Construcción,https://negozona.com.uy/anuncios/1305
2026-09-17 12:33:55,588,Excelente Oportunidad para Emprendedores,,"Tres Cruces, Montevideo",Industria y Manufactura,Otros,https://negozona.com.uy/anuncios/588
2026-09-17 12:33:59,1036,VENTA DE LLAVE LOCAL GASTRONOMICO,15000.0,"Salto, Salto",Gastronomía,Otros,https://negozona.com.uy/anuncios/1036
2026-09-17 12:33:57,969,Venta de Artesanales Los Nikitos,18000.0,"San Jacinto, Canelones",Gastronomía,Productos regionales,https://negozona.com.uy/anuncios/969
2026-09-17 12:34:04,976,Llaves de Lavadero,7000.0,"Pocitos, Montevideo",Servicios,Lavanderías,https://negozona.com.uy/anuncios/976
2026-09-17 12:34:01,410,Negocio de Delivery Gastronómico,20000.0,"Pocitos, Montevideo",Gastronomía,Pizzerias,https://negozona.com.uy/anuncios/410
2026-09-17 12:34:08,1225,Elementos para Fábrica de Pastas y Panadería,33000.0,"Parque del Plata, Canelones",Alimentos y Bebidas,Otros,https://negozona.com.uy/anuncios/1225
2026-09-17 12:33:53,1290,Oportunidad!! Venta de Restaurante!,40000.0,"Centro, Montevideo",Gastronomía,Restaurantes,https://negozona.com.uy/anuncios/1290
2026-09-17 12:33:59,632,Comercio Exterior Especializado,1500000.0,"Punta del Este, Maldonado",Salud,Otros,https://negozona.com.uy/anuncios/632
2026-09-17 12:34:12,607,++Camioneta de Pasajeros con Trabajo++,32000.0,"Malvín, Montevideo",Servicios,Agencias de Transportes,https://negozona.com.uy/anuncios/607
2026-09-17 12:33:53,1399,Venta Llave Almacén /verduleria con 6 Años,12500.0,"Cordón, Montevideo",Alimentos y Bebidas,Verdulerias,https://negozona.com.uy/anuncios/1399
2026-09-17 12:33:53,1400,⭐ OPORTUNIDAD ÚNICA EN POCITOS | LAVANDERÍA 5,42000.0,"Pocitos, Montevideo",Servicios,Lavanderías,https://negozona.com.uy/anuncios/1400
